truenet,estnet,truePL,trueoptPL,estPL,gtee,rt,ntaxa,repid,folder,ils,ngt,L,density,hwcd,nhyb
"((((((t19:0.23361606736312623,t17:0.23361606736312623):0.8188636484921216,t2:1.0395537615661044):0.7470588288001524,t7:1.7697780145242765):4.263166307763092,((((t18:0.17676813407669809,t1:0.17676813407669809):0.31250545044254285,(t10:0.34793973391989147,t20:0.34793973391989147):0.13760073312494822):2.0783310562031714,(t13:0.7619817699942162,t12:0.7619817699942162):1.7377924310837007):0.8814804486083261,((t16:1.1960369067688081,t8:1.1960369067688081):0.6872384402510732,((t9:0.8299814821121647,#H28:0.0::0.3192605557075155):0.02956700284772606,t5:0.8401820542512426):1.0891455233728138):1.5052587667355466):2.508859160003411):0.7598951302474506)#H25:4.871555158935254::0.57613122782826,(t15:3.231726936718347,((t4:0.1805467590622549,t6:0.1805467590622549):2.8666246397929815,t3:3.0416213346859013):0.20477401830327752):8.317793555819387,((t11:6.677908161263719,#H25:0.0::0.42386877217174):2.4775592654588805,(t14:0.8299814821121647)#H28:8.325699627140462::0.6807394442924846):3.6006167618062888);","((((t4:0.0,t6:0.0):2.9225937573746728,(t3:0.0,#H46263:0.0::0.23101897998509324)i90331:0.0):0.26488590217837554,(t15:0.0)#H46263:0.0::0.7689810200149068):8.324463031955199,(t11:0.0,(t14:0.0)#H90519:0.0::0.7005781132608735)i55400:0.253921655111507,((((t17:0.0,t19:0.0):0.8221519762360718,t2:0.0):0.7221826051248643,t7:0.0):4.245978614383992,((((t20:0.0,t10:0.0):0.13764886258435802,(t1:0.0,t18:0.0):0.31024767387055907):2.066386167737866,(t12:0.0,t13:0.0):1.7270840151342237):0.8577510024502826,((t16:0.0,t8:0.0):0.6786094106219737,(t5:0.0,(t9:0.00793465999350434,#H90519:0.0::0.29942188673912645):0.060628392304092255):1.0967627270399096):1.4910277924197695):2.5179886389949218):0.8661905178082616);",-1.5875152229092826,-1.387977552249784,-4.069399763742548,0.0,8710.972206169,20,4,treechild-notgalled,low,10000,0,low,6,2
"((((((t19:0.23361606736312623,t17:0.23361606736312623):0.7956873908045341,t2:1.0395537615661044):0.7689202360258445,t7:1.7697780145242765):4.321589841541639,((((t18:0.17676813407669809,t1:0.17676813407669809):0.3170752451074619,(t10:0.34793973391989147,t20:0.34793973391989147):0.1590438601881067):1.990806601890139,(t13:0.7619817699942162,t12:0.7619817699942162):1.7828056200282332):0.8586204170535158,((t16:1.1960369067688081,t8:1.1960369067688081):0.7600182798107118,((t9:0.8299814821121647,#H28:0.0::0.31963901310277665):0.014108587909527254,t5:0.8401820542512426):1.0764555385087438):1.4089596628291778):2.584535095342485):0.7719217474070388)#H25:4.871660427897757::0.5674869374079993,(t15:3.231726936718347,((t4:0.1805467590622549,t6:0.1805467590622549):2.8644269265634317,t3:3.0416213346859013):0.18661775574580997):8.313692920139058,((t11:6.677908161263719,#H25:0.0::0.43251306259200073):2.4792512059763574,(t14:0.8299814821121647)#H28:8.325699627140462::0.6803609868972234):3.6002395726657217);","(((((((t1:0.0,#H40497:0.0::0.16668436163318967)i9349:0.08488939446017263,t18:0.0):0.4018682985641301,((t20:0.0,t10:0.0):0.13223697124603428)#H40497:0.10563247207806259::0.8333156383668103):1.9428241306772522,(t12:0.0,t13:0.0):1.7809659754971408):0.8412871452952936,((((t17:0.0,t19:0.0):0.7932331675737734,t2:0.0):0.7412737746487659,t7:0.0):4.157775374303678,((t11:0.0,(t14:0.0)#H24345:0.0::0.6968090437986642):0.25923136865807983,(t15:0.0,(t3:0.0,(t6:0.0,t4:0.0):2.878050176184127):0.18808017881993958):7.75697701297125):0.8765443384442686):2.5603877995251247):1.4250133210801543,(t16:0.0,t8:0.0):0.7272370851081357):1.085255703341676,(t9:0.0,#H24345:0.0::0.30319095620133585)i1420:0.03170745150413143,t5:0.02952448206740448);",-1.5257634323159264,-1.302631707349787,-4.243388191540019,0.0,11850.132813083,20,4,treechild-notgalled,low,10000,0,low,6,2
"((((((t19:0.23361606736312623,t17:0.23361606736312623):0.8057189626769627,t2:1.0395537615661044):0.7458461848132999,t7:1.7697780145242765):4.215110066983475,((((t18:0.17676813407669809,t1:0.17676813407669809):0.3129185791420867,(t10:0.34793973391989147,t20:0.34793973391989147):0.1597286278795515):2.0436679212862985,(t13:0.7619817699942162,t12:0.7619817699942162):1.742895907796498):0.9102828564126961,((t16:1.1960369067688081,t8:1.1960369067688081):0.7405202183083185,((t9:0.8299814821121647,#H28:0.0::0.3303140833566999):0.002225497476727337,t5:0.8401820542512426):1.065504460239143):1.4593684131230524):2.5625454593172985):0.7071651364628473)#H25:4.871480689376045::0.5736325524970975,(t15:3.231726936718347,((t4:0.1805467590622549,t6:0.1805467590622549):2.864275395264983,t3:3.0416213346859013):0.19727948206638896):8.318534454263002,((t11:6.677908161263719,#H25:0.0::0.42636744750290245):2.477030134006164,(t14:0.8299814821121647)#H28:8.325699627140462::0.6696859166433001):3.6012442683901824);","(t6:0.0,t4:0.0,(t3:0.0,(t15:0.0,(((t11:0.19135150885594546,#H51294:0.0::0.44317738657283323):2.243326230617502,(t14:0.0)#H51482:0.0::0.6713973585468065):4.485574413432772,(((((t17:0.0,t19:0.0):0.799491659918464,t2:0.0):0.7345659410534383,t7:0.0):4.232237847619631,(((t8:0.0,t16:0.0):0.7393962112005307,((t5:0.02824731407216879,#H51482:0.0::0.3286026414531935)i69046:0.015477640069033224,t9:0.0):1.0563051238888344):1.460988711333886,((t12:0.0,t13:0.0):1.7139237756773913,((t20:0.0,t10:0.0):0.15540975665975384,(t18:0.0,t1:0.155921):0.31214721430998743):2.043029044881505):0.8815352470636091):2.5639512906486477):0.7780379686857462)#H51294:1.8161503115659132::0.5568226134271668)i16396:7.359308984834448):0.19591697575554587):2.926146262737242);",-1.7887017427054495,-1.3450793970299177,-0.3123848319468042,0.0,12014.79868331,20,4,treechild-notgalled,low,10000,0,low,2,2
"((((((t19:0.23361606736312623,t17:0.23361606736312623):0.8011753449724549,t2:1.0395537615661044):0.7457689685634896,t7:1.7697780145242765):4.218287181417691,((((t18:0.17676813407669809,t1:0.17676813407669809):0.306340818338908,(t10:0.34793973391989147,t20:0.34793973391989147):0.14778181556366324):2.0400431467875584,(t13:0.7619817699942162,t12:0.7619817699942162):1.7775138853257444):0.8950415325294672,((t16:1.1960369067688081,t8:1.1960369067688081):0.7226577595508776,((t9:0.8299814821121647,#H28:0.0::0.3249132374499667):0.0041175208188837,t5:0.8401820542512426):1.0646884971786947):1.4630482293160398):2.457441877180867):0.7186020092059159)#H25:4.871485911275772::0.5767854747628763,(t15:3.231726936718347,((t4:0.1805467590622549,t6:0.1805467590622549):2.865344098009849,t3:3.0416213346859013):0.20092639367344353):8.318413657267397,((t11:6.677908161263719,#H25:0.0::0.42321452523712366):2.4765407276885822,(t14:0.8299814821121647)#H28:8.325699627140462::0.6750867625500333):3.6010220804671946);","(((((t6:0.0,t4:0.0):2.937472088773668,t3:0.0):0.19817696105433286,t15:0.0):8.456828039928167,((((t19:0.0,t17:0.0):0.7892184341326093,t2:0.0):0.7348693947419396,t7:0.0):4.2157303948343765,(((((t5:0.0013596182044008026,#H32861:0.0::0.3064149921664565)i40653:0.013938126656265417,#H34807:0.0::0.034177333218016484)i46089:0.017106745824377934,t9:0.019363822507206627):1.13438785903006,((t16:0.0,t8:0.0):0.40622752890948427)#H34807:0.36494213367523054::0.9658226667819835):1.4437425273483657,(((t10:0.0,t20:0.30085085090207575):0.1457152224937174,(t1:0.0,t18:0.0):0.3064907424488534):2.04015149725487,(t12:0.0,t13:0.0):1.8040302341874856):0.8693718750784722):2.4629298910892756):0.8319879313928517):0.24222083859231533,t11:0.0,(t14:0.0)#H32861:0.0::0.6935850078335435);",-1.8172120266798524,-1.4731049839948347,-4.033842063633661,0.0,15570.692268643,20,4,treechild-notgalled,low,10000,0,low,8,2
"((((((t19:0.23361606736312623,t17:0.23361606736312623):0.8065390583360844,t2:1.0395537615661044):0.7344065363413964,t7:1.7697780145242765):4.2209621547324545,((((t18:0.17676813407669809,t1:0.17676813407669809):0.32398135144657053,(t10:0.34793973391989147,t20:0.34793973391989147):0.1194155719232183):2.0255842454818187,(t13:0.7619817699942162,t12:0.7619817699942162):1.7808616326673434):0.8557882557890757,((t16:1.1960369067688081,t8:1.1960369067688081):0.7275582027156269,((t9:0.8299814821121647,#H28:0.0::0.3208576719640945):0.01849049959754451,t5:0.8401820542512426):1.0843876650466593):1.475375461500193):2.5921954025532243):0.7408747273652536)#H25:4.871564808020145::0.5882441661719516,(t15:3.231726936718347,((t4:0.1805467590622549,t6:0.1805467590622549):2.8490489240246353,t3:3.0416213346859013):0.1662973707880525):8.318477344469338,((t11:6.677908161263719,#H25:0.0::0.41175583382804837):2.477454597502072,(t14:0.8299814821121647)#H28:8.325699627140462::0.6791423280359055):3.600914845325807);","((t6:0.0,t4:0.0):2.7292542820975454,(t15:0.0,(((t11:0.0,#H6015:0.0::0.43458904048709657):1.998430548200123,(t14:0.0)#H25945:0.41421317807640257::0.679783113721492):4.346544777767637,(((((t17:0.0,t19:0.0):0.8063995383263202,t2:0.0):0.7209812440864151,t7:0.0):4.062352586647905,(((t12:0.0,t13:0.0):1.7956606469399752,((t10:0.0,t20:0.0):0.1290792037064737,(t1:0.03999946876142476,t18:0.0):0.31995834438964393):2.027298782284345):0.8405766222230442,((t16:0.0,t8:0.0):0.7162950724393944,((t9:0.01690753112348528,#H25945:0.0::0.32021688627850803)i54395:0.017635885308566118,t5:4.2459880855063864e-8):1.0766584789664764):1.4742395059579982):2.5786597856938225):0.8447454105443379)#H6015:1.5197371896942709::0.5654109595129034)i15233:6.981585100329628):0.17823010138270812,t3:0.0);",-1.3350094328536752,-1.253532038286441,-0.3106324812075886,0.0,16839.649806046,20,4,treechild-notgalled,low,10000,0,low,0,2
"((((((t19:0.23361606736312623,t17:0.23361606736312623):0.8162595112155965,t2:1.0395537615661044):0.7503788995832072,t7:1.7697780145242765):4.237178811930116,((((t18:0.17676813407669809,t1:0.17676813407669809):0.3013130046161164,(t10:0.34793973391989147,t20:0.34793973391989147):0.16717965362782605):2.0222543117720524,(t13:0.7619817699942162,t12:0.7619817699942162):1.7717279566623267):0.8584895888468773,((t16:1.1960369067688081,t8:1.1960369067688081):0.6998114764442558,((t9:0.8299814821121647,#H28:0.0::0.3146092476364959):0.0,t5:0.8401820542512426):1.0767407359385635):1.4156784710608261):2.5473311974174986):0.746897778646999)#H25:4.871582616084651::0.5838125206999787,(t15:3.231726936718347,((t4:0.1805467590622549,t6:0.1805467590622549):2.8570277938672572,t3:3.0416213346859013):0.1855874719783375):8.3175175557851,((t11:6.677908161263719,#H25:0.0::0.4161874793000213):2.4778381252534505,(t14:0.8299814821121647)#H28:8.325699627140462::0.6853907523635041):3.6007515052537604);","(((((t4:0.0,t6:0.0):2.8032817991779972,t3:0.0):0.18825916230214784,t15:0.0):8.004463936168644,((((t19:0.0,t17:0.0):0.8209891031269875,t2:1.12267963414458):0.7298803335172792,t7:1.1187257526982484):4.244571502781485,(((t12:0.0,t13:0.0):1.784067158636677,((t1:0.0,t18:0.0):0.3048546382344748,(t20:0.019535505947144052,t10:0.0):0.15708155698777396):2.022287961762707):0.8412779358194363,((t16:0.0,t8:0.0):0.6905719117414432,((t5:0.0,#H39759:0.0::0.29647108340081013)i97514:0.036969719228248994,t9:0.0):1.0930774025192969):1.4447919321657272):2.5387853701438083):0.8639974950465701):0.2656403055685775,t11:0.0,(t14:0.0)#H39759:0.0::0.7035289165991898);",-1.5278154449486598,-1.3427462415431553,-4.310406892918418,0.0,17906.89699529,20,4,treechild-notgalled,low,10000,0,low,4,2
"((((((t19:0.23361606736312623,t17:0.23361606736312623):0.8094344505018041,t2:1.0395537615661044):0.7076404004708461,t7:1.7697780145242765):4.229545247499349,((((t18:0.17676813407669809,t1:0.17676813407669809):0.3244850377166878,(t10:0.34793973391989147,t20:0.34793973391989147):0.1372432875746694):2.113251394601222,(t13:0.7619817699942162,t12:0.7619817699942162):1.7310736756580922):0.8833286233544047,((t16:1.1960369067688081,t8:1.1960369067688081):0.748626860542142,((t9:0.8299814821121647,#H28:0.0::0.31915236364077537):0.01712367609185742,t5:0.8401820542512426):1.0600900303997263):1.4609019889624646):2.5077230697896233):0.753962670676676)#H25:4.871578966803757::0.5776503550082271,(t15:3.231726936718347,((t4:0.1805467590622549,t6:0.1805467590622549):2.8676359416417663,t3:3.0416213346859013):0.18564449501283747):8.31738842277264,((t11:6.677908161263719,#H25:0.0::0.42234964499177285):2.4780768157076927,(t14:0.8299814821121647)#H28:8.325699627140462::0.6808476363592246):3.6007215635503838);","(((t19:0.0,t17:0.0):0.8154213091634336,t2:0.0):0.6964865642359587,(((((t4:0.0,t6:0.0):2.941078305886565,t3:0.0):0.18628654093006855,t15:0.0):8.336627692408495,(t11:0.0,(t14:0.0)#H34501:0.0::0.6979833427080202):0.2632372577970338):0.8697844947672413,(((t9:0.029738712083802226,(#H34501:0.006461523452524715::0.3020166572919798,t5:0.0)i80765:0.049953092859747826):1.0698399435317991,(t16:0.0,t8:0.0):0.7293650205495757):1.4674171909030247,((t13:0.0,t12:0.0):1.7187188168335257,((t1:0.0,(t18:0.0)#H49368:0.0::0.8106881870850656):0.42109348475206937,((t10:0.0,t20:0.0):0.08557980470948366,#H49368:0.0::0.18931181291493435)i3600:0.05385881028699885):2.0967537502414935):0.8653819439139567):2.513426657194296):4.061208050246012,t7:0.0);",-1.6236220502696683,-1.4199859675573152,-4.2133003022782765,0.0,18002.403707192,20,4,treechild-notgalled,low,10000,0,low,6,2
"((((((t19:0.23361606736312623,t17:0.23361606736312623):0.8029331490689071,t2:1.0395537615661044):0.7507269123054767,t7:1.7697780145242765):4.217970185009104,((((t18:0.17676813407669809,t1:0.17676813407669809):0.33208173626373577,(t10:0.34793973391989147,t20:0.34793973391989147):0.12966935959154213):2.0261460835443725,(t13:0.7619817699942162,t12:0.7619817699942162):1.7555998915399278):0.8659703651182226,((t16:1.1960369067688081,t8:1.1960369067688081):0.7240399109308447,((t9:0.8299814821121647,#H28:0.0::0.3266601135879361):0.009849981084660295,t5:0.8401820542512426):1.0567333872841151):1.4618774935325194):2.599002722041297):0.7842623186423263)#H25:4.8716809960410234::0.5755717765217346,(t15:3.231726936718347,((t4:0.1805467590622549,t6:0.1805467590622549):2.8639290674516746,t3:3.0416213346859013):0.17464402888098468):8.317612310100161,((t11:6.677908161263719,#H25:0.0::0.42442822347826537):2.4786859843428153,(t14:0.8299814821121647)#H28:8.325699627140462::0.6733398864120639):3.6002045538582252);","(t12:0.0,(((t1:0.0,(t18:0.0)#H40685:0.0::0.811457796313105):0.4307033164786213,((t10:0.016797714211326163,t20:0.0):0.08319124514770095,#H40685:0.0::0.18854220368689498)i78269:0.05571709523266857):2.0210923963652005,((((t15:0.0,(t3:0.0,(t4:0.0,t6:0.0):2.909687774595902):0.1793476357583055):8.973361555666152,(t11:8.12886220503865,(t14:0.0)#H63604:0.0::0.6914236113381004):0.24894485984948167):0.8809288070317306,(((t19:0.0,t17:0.0):0.7946875045689268,t2:0.0):0.7388529729987982,t7:0.0):4.1227763514348155):2.5759837947847766,((t8:0.0,t16:0.0):0.7105688931082077,((t9:0.0,#H63604:0.0::0.3085763886618996)i55757:0.029333480142998504,t5:0.0):1.0626418396173891):1.4689350349115207):0.8451063489686829):1.751501892465025,t13:0.0);",-1.580607115753167,-1.467699466186971,-4.116610214460437,0.0,14360.093424499,20,4,treechild-notgalled,low,10000,0,low,4,2
"((((((t19:0.23361606736312623,t17:0.23361606736312623):0.8187958438142946,t2:1.0395537615661044):0.7590181449925159,t7:1.7697780145242765):4.3507804900890354,((((t18:0.17676813407669809,t1:0.17676813407669809):0.3275520295405616,(t10:0.34793973391989147,t20:0.34793973391989147):0.1291692916942071):2.1006531005982754,(t13:0.7619817699942162,t12:0.7619817699942162):1.75217300227405):0.8505438414477761,((t16:1.1960369067688081,t8:1.1960369067688081):0.7099084350263981,((t9:0.8299814821121647,#H28:0.0::0.31992933719202693):0.030008401974116708,t5:0.8401820542512426):1.0632569115747539):1.4739322414579192):2.489987816894811):0.7951529324118817)#H25:4.871700520910063::0.5647028405940968,(t15:3.231726936718347,((t4:0.1805467590622549,t6:0.1805467590622549):2.846974367094581,t3:3.0416213346859013):0.18101430263277335):8.312801905653904,((t11:6.677908161263719,#H25:0.0::0.4352971594059032):2.480148185142298,(t14:0.8299814821121647)#H28:8.325699627140462::0.6800706628079731):3.6000294502121473);","(((((t6:0.0,t4:0.0):2.7789270259744594,t3:0.0):0.18439188990923708,t15:0.0):7.533649599356386,((((t19:0.0,t17:0.0):0.8157956995253379,t2:0.0):0.7289131124450827,t7:0.0):4.276377974577155,(((t16:0.0,t8:0.0):0.6987183738019335,((t9:0.0,#H33976:0.0::0.3019086894620635)i73934:0.050662482955909326,t5:0.016287876250648575):1.075722499449616):1.4802055756307695,((t13:0.0,t12:0.0):1.7526500350709024,((t1:0.0,(t18:0.0)#H88822:0.0::0.8104584708811191):0.42578689077629167,((t20:0.0,t10:0.0):0.08305314665141485,#H88822:0.0::0.18954152911888092)i5524:0.05438195050419966):2.071847975658424):0.8380902930002341):2.5010633346795936):0.8942962649472371):0.2610685895164508,t11:0.0,(t14:0.0)#H33976:0.0::0.6980913105379365);",-1.7356252975050332,-1.432077349825186,-4.342218186849958,0.0,14150.805345624,20,4,treechild-notgalled,low,10000,0,low,4,2
"((((((t19:0.23361606736312623,t17:0.23361606736312623):0.8180473565166736,t2:1.0395537615661044):0.7441845670405377,t7:1.7697780145242765):4.234346158355592,((((t18:0.17676813407669809,t1:0.17676813407669809):0.3035716017440858,(t10:0.34793973391989147,t20:0.34793973391989147):0.14912831918397787):2.065584196736168,(t13:0.7619817699942162,t12:0.7619817699942162):1.7789992626731204):0.8800929606887905,((t16:1.1960369067688081,t8:1.1960369067688081):0.736084372850233,((t9:0.8299814821121647,#H28:0.0::0.317366349545827):0.009122683797222626,t5:0.8401820542512426):1.0736757937926353):1.5002698147445022):2.509659346746505):0.7366941295314827)#H25:4.871568565594432::0.5792533755333169,(t15:3.231726936718347,((t4:0.1805467590622549,t6:0.1805467590622549):2.863168403301504,t3:3.0416213346859013):0.19617881066562803):8.31848349340578,((t11:6.677908161263719,#H25:0.0::0.42074662446668304):2.477785464387424,(t14:0.8299814821121647)#H28:8.325699627140462::0.682633650454173):3.6008775997854623);","((t2:0.0,(t19:0.10292222492158652,t17:0.0):0.823272406562336):0.7262164757273355,((((t15:0.0)#H51751:0.0::0.7673215961738629,(t3:0.0,(#H51751:0.0::0.2326784038261371,(t6:0.0,t4:0.0):2.886229678467917):0.01526864668981433)i69999:0.26301090534115323):8.55724375780448,(t11:0.03198031406092928,(t14:0.0)#H7785:0.0::0.7008364796511779):0.2559773526734988):0.8516079376714061,(((t13:0.0,t12:0.0):1.7922504643088872,((t1:0.0,t18:0.0):0.30487581093805594,(t20:0.0,t10:0.0):0.14451031018013374):2.060410405303433):0.8588145884588224,((t8:0.0,t16:0.0):0.7180477415986313,((t5:0.0,#H7785:0.0::0.2991635203488221)i69838:0.04033843699640384,t9:0.0):1.083564860050247):1.4903867303471163):2.5140612027143225):4.1298882433605195,t7:0.0);",-1.4859255484181457,-1.3141179051741132,-4.3355872483112945,0.0,23876.701496376,20,4,treechild-notgalled,low,10000,0,low,8,2
